ingrediant,vegan,lacto ovo,lacto,ovo,diabetes,sugar,lactose,dairy,nuts,egg,fish,soy,gluten,sesame,eat
chickpeas,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
onion,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
garlic cloves,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
ground coriander,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
ground cumin,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
flat-leaf parsley,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
plain flour,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
vegetable oil,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
hummus,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
burger buns,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
watercress,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
olive oil,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
coconut oil,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
cashews,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
coconut cream,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
vegan cream cheese,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
cornstarch,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
vanilla extract,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
organic maple syrup,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
lemon zest,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
lemon juice,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
sea salt,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
gluten-free rolled oats,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
almonds,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
coconut sugar,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
honey,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
unsweetened cocoa powder,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
peanut butter,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
